OutOfProc Endpoint Packet Pump (TID 4) 638379006571974380 +         0ms: Waiting for connection 900000 ms...
OutOfProc Endpoint Packet Pump (TID 4) 638379006572079808 +   10.5428ms: Parent started connecting. Reading handshake from parent
OutOfProc Endpoint Packet Pump (TID 4) 638379006572079808 +         0ms: Building handshake for node type TaskHost, (version 1): options 16777217.
OutOfProc Endpoint Packet Pump (TID 4) 638379006572090800 +    1.0992ms: Handshake salt is 
OutOfProc Endpoint Packet Pump (TID 4) 638379006572110133 +    1.9333ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
OutOfProc Endpoint Packet Pump (TID 4) 638379006572200520 +    9.0387ms: Successfully connected to parent.
OutOfProc Endpoint Packet Pump (TID 4) 638379006572210520 +         1ms: Changing link status from Inactive to Active
OutOfProc Endpoint Packet Pump (TID 4) 638379006572222869 +    1.2349ms: Entering read loop.
OutOfProc Endpoint Packet Pump (TID 4) 638379006639242732 +  6701.986ms: Disconnecting voluntarily
OutOfProc Endpoint Packet Pump (TID 4) 638379006639242732 +         0ms: Changing link status from Active to Failed
OutOfProc Endpoint Packet Pump (TID 4) 638379006639252520 +    0.9788ms: Ending read loop
 (TID 1) 638379006639262515 +    0.9995ms: Changing link status from Failed to Inactive
 (TID 8) 638384203683542620 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 8) 638384203683542620 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 8) 638384203683542620 +         0ms: Handshake salt is 
 (TID 8) 638384203683542620 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 8) 638384203683698853 +   15.6233ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 8) 638384203683698853 +         0ms: Trying to connect to existing process MSBuild with id 20056 to establish node 2...
 (TID 8) 638384203683698853 +         0ms: Attempting connect to PID 20056 with pipe MSBuild20056 with timeout 0 ms
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 2 (17) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 3 (7) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 4 (2) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Writing handshake part 6 (1) to pipe MSBuild20056
 (TID 8) 638384203683698853 +         0ms: Reading handshake from pipe MSBuild20056
 (TID 8) 638384203683855042 +   15.6189ms: Successfully connected to pipe MSBuild20056...!
 (TID 8) 638384203683855042 +         0ms: Successfully connected to existed node 2 which is PID 20056
