 (TID 12) 638373709712516182 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 12) 638373709712616974 +   10.0792ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 12) 638373709712616974 +         0ms: Handshake salt is 
 (TID 12) 638373709712616974 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 12) 638373709712657020 +    4.0046ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 12) 638373709712657020 +         0ms: Trying to connect to existing process MSBuild with id 28128 to establish node 2...
 (TID 12) 638373709712759401 +   10.2381ms: Attempting connect to PID 28128 with pipe MSBuild28128 with timeout 0 ms
 (TID 12) 638373709712759401 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild28128
 (TID 12) 638373709712759401 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild28128
 (TID 12) 638373709712774712 +    1.5311ms: Writing handshake part 2 (17) to pipe MSBuild28128
 (TID 12) 638373709712774712 +         0ms: Writing handshake part 3 (7) to pipe MSBuild28128
 (TID 12) 638373709712774712 +         0ms: Writing handshake part 4 (2) to pipe MSBuild28128
 (TID 12) 638373709712774712 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild28128
 (TID 12) 638373709712774712 +         0ms: Writing handshake part 6 (18) to pipe MSBuild28128
 (TID 12) 638373709712774712 +         0ms: Reading handshake from pipe MSBuild28128
 (TID 12) 638373709712860878 +    8.6166ms: Successfully connected to pipe MSBuild28128...!
 (TID 12) 638373709712860878 +         0ms: Successfully connected to existed node 2 which is PID 28128
