 (TID 1) 638384089935538504 +         0ms: Building handshake for node type X64, (version 1): options 16777220.
 (TID 1) 638384089935698630 +   16.0126ms: Handshake salt is 
 (TID 1) 638384089935698630 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 1) 638384089935698630 +         0ms: Trying shutdown server node.
 (TID 1) 638384089935698630 +         0ms: No need to shutdown server node for it is not running.
 (TID 1) 638384089935855221 +   15.6591ms: MSBUILDNODEHANDSHAKESALT="", msbuildDirectory="C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin", enableNodeReuse=True, enableLowPriority=False
 (TID 1) 638384089935855221 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 1) 638384089935855221 +         0ms: Handshake salt is 
 (TID 1) 638384089935855221 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 1) 638384089935855221 +         0ms: Attempting connect to PID 19492 with pipe MSBuild19492 with timeout 30 ms
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 2 (17) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 3 (7) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 4 (2) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Writing handshake part 6 (1) to pipe MSBuild19492
 (TID 1) 638384089935855221 +         0ms: Reading handshake from pipe MSBuild19492
 (TID 1) 638384089936011532 +   15.6311ms: Successfully connected to pipe MSBuild19492...!
 (TID 1) 638384089936011532 +         0ms: Shutting down node with pid = 19492
